iter	Passed	Remaining
399	62017	93026
400	62214	92933
401	62413	92843
402	62612	92753
403	62834	92696
404	63043	92619
405	63227	92505
406	63397	92370
407	63516	92160
408	63698	92043
409	63878	91922
410	64077	91829
411	64281	91741
412	64475	91639
413	64674	91544
414	64827	91383
415	64956	91188
416	65083	90992
417	65208	90793
418	65322	90577
419	65436	90364
420	65613	90237
421	65733	90033
422	65881	89866
423	66020	89688
424	66153	89501
425	66262	89283
426	66425	89137
427	66569	88966
428	66776	88879
429	66960	88761
430	67122	88614
431	67335	88533
432	67642	88575
433	67884	88531
434	68081	88427
435	68290	88339
436	68484	88231
437	68684	88129
438	68891	88036
439	69071	87908
440	69267	87802
441	69477	87710
442	69757	87708
443	70099	87781
444	70353	87744
445	70654	87763
446	70994	87829
447	71210	87741
448	71384	87600
449	71567	87471
450	71740	87329
451	71874	87139
452	72003	86944
453	72130	86747
454	72316	86621
455	72464	86448
456	72610	86275
457	72820	86176
458	73100	86160
459	73253	85993
460	73372	85787
461	73495	85585
462	73612	85377
463	73738	85180
464	73848	84965
465	73960	84753
466	74082	84551
467	74194	84340
468	74323	84148
469	74434	83937
470	74545	83725
471	74672	83531
472	74792	83331
473	74898	83114
474	75010	82906
475	75164	82744
476	75333	82598
477	75538	82491
478	75749	82391
479	75930	82257
480	76104	82116
481	76242	81937
482	76373	81749
483	76482	81538
484	76609	81347
485	76721	81141
486	76833	80935
487	76957	80742
488	77074	80542
489	77191	80341
490	77300	80134
491	77409	79927
492	77546	79748
493	77663	79550
494	77771	79342
495	77882	79138
496	78048	78990
497	78182	78810
498	78298	78612
499	78462	78462
500	78606	78293
501	78793	78165
502	79002	78059
503	79166	77910
504	79348	77776
505	79533	77647
506	79739	77537
507	79922	77405
508	80094	77262
509	80250	77103
510	80400	76939
511	80520	76745
512	80660	76572
513	80797	76395
514	80960	76244
515	81100	76070
516	81215	75874
517	81332	75679
518	81475	75509
519	81589	75313
520	81727	75139
521	81882	74980
522	82084	74865
523	82262	74727
524	82369	74525
525	82478	74324
526	82588	74125
527	82728	73954
528	82847	73764
529	82962	73570
530	83077	73377
531	83198	73189
532	83340	73020
533	83453	72826
534	83568	72634
535	83684	72443
536	83809	72260
537	83956	72096
538	84065	71900
539	84174	71704
540	84303	71525
541	84416	71333
542	84546	71156
543	84681	70982
544	84812	70806
545	84922	70613
546	85040	70426
547	85154	70236
