iter	Logloss
0	0.6890940801
1	0.6854945297
2	0.6810589789
3	0.6779679313
4	0.6752542555
5	0.6716561877
6	0.6673333584
7	0.6636098432
8	0.6599649077
9	0.656579351
10	0.6534453481
11	0.6507765632
12	0.6481368545
13	0.6458035983
14	0.6430747255
15	0.6407017676
16	0.6379408534
17	0.6352586836
18	0.6324658516
19	0.6298091749
20	0.6278528376
21	0.6256947794
22	0.6232630103
23	0.6213454685
24	0.619623717
25	0.6179132088
26	0.6161279511
27	0.6142993675
28	0.6118998869
29	0.6093418054
30	0.6072614621
31	0.605137381
32	0.6035917336
33	0.6018395057
34	0.5999000539
35	0.5981481143
36	0.5960265042
37	0.5946119465
38	0.5925522777
39	0.5912114399
40	0.5895792643
41	0.5876494908
42	0.5859015049
43	0.5840341257
44	0.5823962254
45	0.581198915
46	0.5798728212
47	0.5786484938
48	0.5771028876
49	0.5757536895
50	0.5740977505
51	0.5728712816
52	0.5718988375
53	0.5705627359
54	0.5691320751
55	0.5680092671
56	0.5661151593
57	0.564929051
58	0.5634028426
59	0.5620935932
60	0.5609449626
61	0.5598460003
62	0.558474645
63	0.5573552553
64	0.5560317561
65	0.5549284282
66	0.5535938917
67	0.5525178691
68	0.5512505865
69	0.5498557972
70	0.5487427087
71	0.547524559
72	0.5466246405
73	0.5455061157
74	0.5443993696
75	0.54348446
76	0.5425017199
77	0.5415153555
78	0.5405014388
79	0.5395710851
80	0.5383771518
81	0.5373512093
82	0.5360962408
83	0.5352423664
84	0.5342306325
85	0.5332763507
86	0.5325651799
87	0.5316900132
88	0.5308562779
89	0.5298974659
90	0.5292621978
91	0.5283965859
92	0.5279009738
93	0.526903119
94	0.5260206627
95	0.5250114822
96	0.5240668375
97	0.5231550168
98	0.5223134153
99	0.5215709032
100	0.5207194999
101	0.5195207892
102	0.5188345761
103	0.5180773613
104	0.5168884936
105	0.5163342351
106	0.5154159484
107	0.5145617033
108	0.5139809221
109	0.5133864677
110	0.5125729127
111	0.5116825902
112	0.5106667378
113	0.5095382052
114	0.5089407855
115	0.5083948462
116	0.5069388159
117	0.5059471388
118	0.5050728369
119	0.5043087855
120	0.5035154108
121	0.5029324057
122	0.5020394473
123	0.5015109702
124	0.5008276812
125	0.5002207479
126	0.4995056235
127	0.4986471364
128	0.4978776898
129	0.4969871202
130	0.4959504698
131	0.4950251406
132	0.4941643884
133	0.4934075442
134	0.4924883926
135	0.4916810565
136	0.4911196731
137	0.4900780805
138	0.4892564122
139	0.4886565215
140	0.487777154
141	0.487227714
142	0.4865483787
143	0.4854956664
144	0.4846243298
145	0.483900639
146	0.4832850571
147	0.4826771354
148	0.4818173716
149	0.4812281888
150	0.4804381089
151	0.479700539
152	0.478906423
153	0.478176431
154	0.4777128191
155	0.4770465804
156	0.4766666963
157	0.476150245
158	0.4757545461
159	0.4747712294
160	0.4740589054
161	0.4734742529
162	0.4727712366
163	0.4718844559
164	0.4712312727
165	0.4706172557
166	0.4698753202
167	0.4693856387
