,Test Acc,Macro F1,Macro Precision,Macro Recall
Random Forest,0.8644366197183099,0.8646068456432318,0.9189279416235939,0.8400280596750767
XGBoost,0.8785211267605634,0.8794654174825457,0.9126151615563549,0.8609849823006593
MLP,0.8873239436619719,0.8930338616223861,0.8899490082536374,0.8969300028291141
CatBoost,0.8855633802816901,0.8870164055784132,0.9146939351027337,0.8715387726872091
