,Test Acc,Macro F1,Balanced Accuracy
Random Forest,0.7961065573770492,0.6087697205554254,0.5940865366175043
XGBoost,0.8278688524590164,0.7033903450854955,0.6691370600511682
MLP,0.6813524590163934,0.48522444782078883,0.4877197614371074
CatBoost,0.8329918032786885,0.6435846778321561,0.6207595147928741
