,30 MFCC,60 MFCC,90 MFCC,120 MFCC,12 Chroma,20 CQT,30 CQT,40 CQT,60 CQT,70 CQT,20 RMS,40 RMS,60 RMS,20 ZCR,40 ZCR,60 ZCR,20 SC,40 SC,60 SC,20 SB,40 SB,60 SB,20 SR,40 SR,60 SR
Random Forest,0.748456148345961,0.6793345524940595,0.6739754786159968,0.5846951088127559,0.3920373325234735,0.46393385502201934,0.4397378265235409,0.4260324675324675,0.5004302190790055,0.5128996575471895,0.4481652113040654,0.49364498618577973,0.4658530754767661,0.39957948498160645,0.4031976416525772,0.40051812374966234,0.4428530335495612,0.4480127484064492,0.43952916405746595,0.45149113159125676,0.45826014727559494,0.46569111080613385,0.4537492138400281,0.46267960075728176,0.44326359150857353
SVM,0.4404735222867712,0.44118252750812853,0.44118252750812853,0.44118252750812853,0.35480388055977513,0.39635149268128345,0.4009053092501368,0.40622400154416927,0.4126931284677763,0.44397875012073795,0.3604979217786576,0.40276766904381966,0.38764922454741424,0.26844531576035796,0.2677477477477478,0.27227251862920315,0.39192554464581797,0.3735017142131767,0.36871490059438405,0.4161489053289304,0.43437146783333924,0.4358361697299751,0.38051451462393143,0.3210057099388187,0.3205812505995114
Logistic Regression,0.554736518902322,0.5644354109063122,0.5984226309076097,0.6144785658346459,0.31104610432642243,0.35267771966721073,0.3527692386764638,0.3530139415937964,0.35954867446269656,0.3847768493427027,0.2632738709518895,0.25508518126220575,0.24371110430074575,0.2688530927709564,0.27219248298313115,0.27910158520216954,0.3344222604280283,0.36516378377503783,0.32391320906974524,0.3105399268331085,0.37143135575477265,0.3546154017195657,0.289410736139286,0.3265372988462908,0.31894598155467724
