,mfcc_30,mfcc_120,chroma_12,cqt_30,cqt_70
mix,0.8809523809523809,0.8630952380952381,0.6815476190476191,0.7648809523809523,0.7916666666666666
4000,0.8839285714285714,0.8392857142857143,0.6934523809523809,0.7589285714285714,0.7886904761904762
