,mfcc_30,mfcc_120,chroma_12,cqt_30,cqt_70
mix,0.6485073324036005,0.6960514507570985,0.25700760896425623,0.590666985330342,0.5982393519408203
4000,0.6113569527938306,0.6409122611306931,0.3712916763125477,0.49836883144524813,0.5243052087826118
