,Test Acc,Macro F1,Balanced Accuracy
Random Forest,0.7438524590163934,0.6954959859128615,0.7512388839593809
XGBoost,0.7387295081967213,0.690388715360076,0.784851818988465
MLP,0.7284836065573771,0.7089667419749868,0.7923722600151171
CatBoost,0.6495901639344263,0.634481826331612,0.7848665746491833
