,mfcc_30,mfcc_120,chroma_12,cqt_30,cqt_70
mix,0.6382209883086014,0.6312708164898726,0.4513283108571238,0.5673298102527169,0.5686040486375334
4000,0.6678671535689731,0.6732601590442454,0.5438352566964424,0.5845253509346331,0.5756059380522678
