,mfcc_30,mfcc_120,chroma_12,cqt_30,cqt_70
mix,0.5525866946142376,0.616781001690754,0.24172221201408384,0.4111844257507632,0.42001035310202184
4000,0.5142356440936108,0.5756703654918207,0.2962825082481915,0.36754596399873163,0.3776095448972947
