,Test Acc,Macro F1,Macro Precision,Macro Recall
Random Forest,0.6496478873239436,0.6149914928779338,0.6714187773316662,0.5894577919534162
XGBoost,0.6338028169014085,0.6005350270773726,0.6161141385897682,0.5941659681609145
MLP,0.4119718309859155,0.34319697420797235,0.3743597704898015,0.3754910713070618
CatBoost,0.6514084507042254,0.6204888812073646,0.6391055567360114,0.6099007097214342
