,Test Acc,Macro F1,Balanced Accuracy
Random Forest,0.7336065573770492,0.6871215407357454,0.7698045450064084
XGBoost,0.7387295081967213,0.690388715360076,0.784851818988465
MLP,0.7284836065573771,0.7089667419749868,0.7923722600151171
CatBoost,0.7418032786885246,0.6979717257486076,0.7963559762069078
LightGBM,0.7172131147540983,0.6736367109446089,0.7700276545400768
Ensemble,0.7469262295081968,0.7071587532708874,0.8004519701600448
