n_features,threshold1,threshold2,accuracy,precision micro,precision macro,recall weighted,recall macro,recall micro,f1_score macro,f1_score micro
5,0.0,0.6,0.7991803278688525,0.7991803278688525,0.8651917621807765,,0.6192756817976556,0.7991803278688525,0.6306519113680669,0.7991803278688525
5,0.0,0.7,0.8125,0.8125,0.7149476347874517,,0.6076057719490122,0.8125,0.634622104519377,0.8125
5,0.0,0.8,0.8176229508196722,0.8176229508196722,0.7215517546366221,,0.6299931061081464,0.8176229508196722,0.6543725895707223,0.8176229508196722
5,0.0,0.9,0.7961065573770492,0.7961065573770492,0.655318074136009,,0.5940865366175043,0.7961065573770492,0.6087697205554254,0.796106557377049
5,0.0,1.0,0.7961065573770492,0.7961065573770492,0.655318074136009,,0.5940865366175043,0.7961065573770492,0.6087697205554254,0.796106557377049
5,0.1,0.6,0.8002049180327869,0.8002049180327869,0.8571116714875376,,0.5897679322989,0.8002049180327869,0.6094216850508356,0.8002049180327869
5,0.1,0.7,0.8217213114754098,0.8217213114754098,0.7208116558143709,,0.613651673714631,0.8217213114754098,0.6406496206804595,0.8217213114754099
5,0.1,0.8,0.8073770491803278,0.8073770491803278,0.6964482497556428,,0.6020452303004121,0.8073770491803278,0.6259618544773521,0.8073770491803277
5,0.1,0.9,0.8012295081967213,0.8012295081967213,0.6836555220496827,,0.5877510442164381,0.8012295081967213,0.6108148593161479,0.8012295081967213
5,0.1,1.0,0.8012295081967213,0.8012295081967213,0.6836555220496827,,0.5877510442164381,0.8012295081967213,0.6108148593161479,0.8012295081967213
5,0.2,0.6,0.7868852459016393,0.7868852459016393,0.6386761978115858,,0.5979162121000148,0.7868852459016393,0.6029183719918728,0.7868852459016392
5,0.2,0.7,0.8145491803278688,0.8145491803278688,0.6775142226866364,,0.598454253280303,0.8145491803278688,0.6184868200765559,0.8145491803278688
5,0.2,0.8,0.819672131147541,0.819672131147541,0.7211478629069376,,0.6220303207773058,0.819672131147541,0.6486333165671787,0.819672131147541
5,0.2,0.9,0.7868852459016393,0.7868852459016393,0.6836443328037852,,0.5976427644450211,0.7868852459016393,0.6193349905957903,0.7868852459016392
5,0.2,1.0,0.7868852459016393,0.7868852459016393,0.6836443328037852,,0.5976427644450211,0.7868852459016393,0.6193349905957903,0.7868852459016392
5,0.3,0.6,0.7797131147540983,0.7797131147540983,0.8278927915427502,,0.5963936861692474,0.7797131147540983,0.6021070568502437,0.7797131147540983
5,0.3,0.7,0.8043032786885246,0.8043032786885246,0.8047008934803854,,0.6289636006614054,0.8043032786885246,0.6428233474980297,0.8043032786885246
5,0.3,0.8,0.8073770491803278,0.8073770491803278,0.8748533383581434,,0.6360770264678526,0.8073770491803278,0.6473458633271616,0.8073770491803277
5,0.3,0.9,0.7776639344262295,0.7776639344262295,0.6314034162646716,,0.5822207093823135,0.7776639344262295,0.5924571468037624,0.7776639344262295
5,0.3,1.0,0.7776639344262295,0.7776639344262295,0.6314034162646716,,0.5822207093823135,0.7776639344262295,0.5924571468037624,0.7776639344262295
5,0.4,0.6,0.7561475409836066,0.7561475409836066,0.6093741859400852,,0.577651789922343,0.7561475409836066,0.5803027714021588,0.7561475409836066
5,0.4,0.7,0.7971311475409836,0.7971311475409836,0.7246342110847632,,0.5988004687219765,0.7971311475409836,0.617880588387472,0.7971311475409836
5,0.4,0.8,0.8145491803278688,0.8145491803278688,0.8780482031159098,,0.6422305931177197,0.8145491803278688,0.6544744769179248,0.8145491803278688
5,0.4,0.9,0.7920081967213115,0.7920081967213115,0.6471274068517129,,0.6119850927217756,0.7920081967213115,0.615317558973896,0.7920081967213115
