,Test Acc,Macro F1,Balanced Accuracy
XGBoost,0.8734177215189873,0.8335700020502852,0.8609087229305808
CatBoost,0.879746835443038,0.8373569722117441,0.8711799230924914
MLP_Ultra,0.8924050632911392,0.8595067893980938,0.8787188828172434
MLP_Ensemble5,0.8892405063291139,0.8592024518797975,0.8800850030358228
MLP_Ensemble2,0.9050632911392406,0.8797514619883041,0.9061424812790934
MLP_Ensemble6,0.8987341772151899,0.8594489335371623,0.8814511232544019
MLP Rollercoaster,0.8860759493670886,0.8546324488908222,0.87391216352965
