,Test Acc,Macro F1,Balanced Accuracy
Random Forest,0.819620253164557,0.6201738050900062,0.6179923092491398
XGBoost,0.879746835443038,0.8089435589435588,0.7936146529042705
MLP,0.7151898734177216,0.42373300748859055,0.4220299534507184
CatBoost,0.879746835443038,0.8110914638374593,0.8011536126290224
