,Test Acc,Macro F1,Balanced Accuracy
Random Forest,0.8345070422535211,0.8316080248242186,0.8140933896960723
XGBoost,0.8679577464788732,0.8682598390954555,0.8512962053316508
MLP,0.579225352112676,0.5841367373268626,0.5897378252207578
CatBoost,0.8714788732394366,0.8766241550191237,0.858361610416287
