,mfcc_30,mfcc_120,chroma_12,cqt_30,cqt_70
mix,0.7740112994350282,0.775894538606403,0.6252354048964218,0.71939736346516,0.7306967984934086
4000,0.8045112781954887,0.8101503759398496,0.7105263157894737,0.75,0.7631578947368421
