,Test Acc,Macro F1,Balanced Accuracy
Random Forest,0.7950819672131147,0.617821364382864,0.6164128550048995
XGBoost,0.8370901639344263,0.7117705885354253,0.6916235764811048
MLP,0.8299180327868853,0.7763363437379704,0.7744259268583703
CatBoost,0.8432377049180327,0.7407028231554798,0.746380661177685
