,Test Acc,Macro F1,Balanced Accuracy
Random Forest,0.7325819672131147,0.6696164011995818,0.7504350290840975
XGBoost,0.7366803278688525,0.6839421364130456,0.7733677905944987
MLP,0.5215163934426229,0.4676229020203557,0.5253830063426337
CatBoost,0.7540983606557377,0.7012127419068978,0.8015210818626967
