n_features,threshold1,threshold2,accuracy,precision weighted,precision micro,precision macro,precision weighted,recall weighted,recall macro,recall micro,f1_score weighted,f1_score macro,f1_score micro
10,0.3,0.6,0.8257042253521126,0.8330908304388208,0.8257042253521126,0.8497958446251129,0.8330908304388208,0.8257042253521126,0.7966762654549951,0.8257042253521126,0.8201861560835777,0.8143219860077341,0.8257042253521126
10,0.3,0.7,0.8362676056338029,0.8416845166918441,0.8362676056338029,0.85790520616831,0.8416845166918441,0.8362676056338029,0.8086636026664891,0.8362676056338029,0.8291999302928498,0.8233283310683344,0.8362676056338029
10,0.3,0.85,0.8151408450704225,0.834924539286594,0.8151408450704225,0.8567758346581875,0.834924539286594,0.8151408450704225,0.7907096316818141,0.8151408450704225,0.8082688594932117,0.8065003847526191,0.8151408450704225
10,0.4,0.6,0.7341549295774648,0.7367333526426739,0.7341549295774648,0.7457049667658076,0.7367333526426739,0.7341549295774648,0.7146480339680856,0.7341549295774648,0.7286408356949268,0.7232078985537091,0.7341549295774648
10,0.4,0.7,0.75,0.7566995076591332,0.75,0.7685540339188945,0.7566995076591332,0.75,0.7303927394002075,0.75,0.7451149492509468,0.7418747405126138,0.75
10,0.4,0.85,0.8028169014084507,0.8160415198425791,0.8028169014084507,0.8360521646039286,0.8160415198425791,0.8028169014084507,0.7730904362106281,0.8028169014084507,0.7949622742361279,0.7895785646833484,0.8028169014084507
10,0.5,0.6,0.3767605633802817,0.366225098756481,0.3767605633802817,0.3382795904431424,0.366225098756481,0.3767605633802817,0.3377170994230627,0.3767605633802817,0.37060530617835985,0.33719956061245576,0.3767605633802817
10,0.5,0.7,0.48063380281690143,0.4836521388992383,0.48063380281690143,0.4662815063449191,0.4836521388992383,0.48063380281690143,0.4682593013961724,0.48063380281690143,0.4812122095969508,0.4661151930442126,0.48063380281690143
10,0.5,0.85,0.7517605633802817,0.7578377384383375,0.7517605633802817,0.774879105293597,0.7578377384383375,0.7517605633802817,0.7231677931498905,0.7517605633802817,0.7427197734016363,0.7362273164590073,0.7517605633802817
15,0.3,0.6,0.8257042253521126,0.8330908304388208,0.8257042253521126,0.8497958446251129,0.8330908304388208,0.8257042253521126,0.7966762654549951,0.8257042253521126,0.8201861560835777,0.8143219860077341,0.8257042253521126
15,0.3,0.7,0.8274647887323944,0.8398817022608406,0.8274647887323944,0.8633236362691488,0.8398817022608406,0.8274647887323944,0.8028250404656456,0.8274647887323944,0.8213638256794593,0.8195966157078874,0.8274647887323944
15,0.3,0.85,0.8133802816901409,0.8273251796084314,0.8133802816901409,0.8505626829782058,0.8273251796084314,0.8133802816901409,0.790318787880342,0.8133802816901409,0.8058939771202457,0.8052448450578916,0.8133802816901409
15,0.4,0.6,0.7341549295774648,0.7367333526426739,0.7341549295774648,0.7457049667658076,0.7367333526426739,0.7341549295774648,0.7146480339680856,0.7341549295774648,0.7286408356949268,0.7232078985537091,0.7341549295774648
15,0.4,0.7,0.75,0.7566995076591332,0.75,0.7685540339188945,0.7566995076591332,0.75,0.7303927394002075,0.75,0.7451149492509468,0.7418747405126138,0.75
15,0.4,0.85,0.8133802816901409,0.834625773133464,0.8133802816901409,0.8623502715607978,0.834625773133464,0.8133802816901409,0.7806368593156889,0.8133802816901409,0.8056882243682745,0.8022055111772148,0.8133802816901409
15,0.5,0.6,0.3767605633802817,0.366225098756481,0.3767605633802817,0.3382795904431424,0.366225098756481,0.3767605633802817,0.3377170994230627,0.3767605633802817,0.37060530617835985,0.33719956061245576,0.3767605633802817
15,0.5,0.7,0.48063380281690143,0.4836521388992383,0.48063380281690143,0.4662815063449191,0.4836521388992383,0.48063380281690143,0.4682593013961724,0.48063380281690143,0.4812122095969508,0.4661151930442126,0.48063380281690143
